127.0.0.1 - - [26/set./2022:15:46:06 +0000] "GET /solr/search/select?q=*:*&start=231&q.op=AND&json=%7B%22filter%22:[]%7D&facet=true&json.facet=%7B%22subject%22:%7B%22field%22:%22subject_str%22%7D,%22author%22:%7B%22field%22:%22author_str%22%7D,%22year%22:%7B%22field%22:%22year%22%7D,%22type%22:%7B%22field%22:%22type%22%7D%7D&wt=json HTTP/1.1" 200 2312
127.0.0.1 - - [26/set./2022:16:22:48 +0000] "POST /solr/search/update/?commit=true HTTP/1.1" 400 322
127.0.0.1 - - [26/set./2022:16:23:57 +0000] "POST /solr/search/update/?commit=true HTTP/1.1" 200 57
127.0.0.1 - - [26/set./2022:16:24:05 +0000] "GET /solr/admin/cores?_=1664205197211&indexInfo=false&wt=json HTTP/1.1" 200 481
127.0.0.1 - - [26/set./2022:16:24:05 +0000] "GET /solr/search/select?_=1664206843977&indent=true&q=*:*&q.op=OR HTTP/1.1" 200 1551
127.0.0.1 - - [26/set./2022:16:24:05 +0000] "GET /solr/admin/info/system?_=1664205197212&wt=json HTTP/1.1" 200 1380
127.0.0.1 - - [26/set./2022:16:24:16 +0000] "GET /solr/search/select?q=*:*&start=0&q.op=AND&json=%7B%22filter%22:[]%7D&facet=true&json.facet=%7B%22subject%22:%7B%22field%22:%22subject_str%22%7D,%22author%22:%7B%22field%22:%22author_str%22%7D,%22year%22:%7B%22field%22:%22year%22%7D,%22type%22:%7B%22field%22:%22type%22%7D%7D&wt=json HTTP/1.1" 200 2123
127.0.0.1 - - [26/set./2022:16:24:52 +0000] "GET /solr/search/select?q=*:*&start=251&q.op=AND&json=%7B%22filter%22:[]%7D&facet=true&json.facet=%7B%22subject%22:%7B%22field%22:%22subject_str%22%7D,%22author%22:%7B%22field%22:%22author_str%22%7D,%22year%22:%7B%22field%22:%22year%22%7D,%22type%22:%7B%22field%22:%22type%22%7D%7D&wt=json HTTP/1.1" 200 1708
127.0.0.1 - - [26/set./2022:16:27:05 +0000] "GET /solr/admin/cores?_=1664205197211&indexInfo=false&wt=json HTTP/1.1" 200 481
127.0.0.1 - - [26/set./2022:16:27:05 +0000] "GET /solr/search/select?_=1664206843977&indent=true&q=*:*&q.op=OR&start=241 HTTP/1.1" 200 1783
127.0.0.1 - - [26/set./2022:16:27:05 +0000] "GET /solr/admin/info/system?_=1664205197212&wt=json HTTP/1.1" 200 1373
127.0.0.1 - - [26/set./2022:16:30:31 +0000] "POST /solr/search/update/?commit=true HTTP/1.1" 200 57
127.0.0.1 - - [26/set./2022:16:30:40 +0000] "GET /solr/admin/cores?_=1664205197211&indexInfo=false&wt=json HTTP/1.1" 200 481
127.0.0.1 - - [26/set./2022:16:30:40 +0000] "GET /solr/search/select?_=1664206843977&indent=true&q=*:*&q.op=OR&start=241 HTTP/1.1" 200 1814
127.0.0.1 - - [26/set./2022:16:30:40 +0000] "GET /solr/admin/info/system?_=1664205197212&wt=json HTTP/1.1" 200 1375
127.0.0.1 - - [26/set./2022:16:30:59 +0000] "GET /solr/search/select?q=*:*&start=0&q.op=AND&json=%7B%22filter%22:[]%7D&facet=true&json.facet=%7B%22subject%22:%7B%22field%22:%22subject_str%22%7D,%22author%22:%7B%22field%22:%22author_str%22%7D,%22year%22:%7B%22field%22:%22year%22%7D,%22type%22:%7B%22field%22:%22type%22%7D%7D&wt=json HTTP/1.1" 200 2122
127.0.0.1 - - [26/set./2022:16:31:10 +0000] "GET /solr/search/select?q=*:*&start=251&q.op=AND&json=%7B%22filter%22:[]%7D&facet=true&json.facet=%7B%22subject%22:%7B%22field%22:%22subject_str%22%7D,%22author%22:%7B%22field%22:%22author_str%22%7D,%22year%22:%7B%22field%22:%22year%22%7D,%22type%22:%7B%22field%22:%22type%22%7D%7D&wt=json HTTP/1.1" 200 1708
127.0.0.1 - - [26/set./2022:16:34:13 +0000] "GET /solr/search/select?q=*:*&start=0&q.op=AND&json=%7B%22filter%22:[]%7D&facet=true&json.facet=%7B%22subject%22:%7B%22field%22:%22subject_str%22%7D,%22author%22:%7B%22field%22:%22author_str%22%7D,%22year%22:%7B%22field%22:%22year%22%7D,%22type%22:%7B%22field%22:%22type%22%7D%7D&wt=json HTTP/1.1" 200 2122
127.0.0.1 - - [26/set./2022:16:34:27 +0000] "GET /solr/search/select?q=*:*&start=251&q.op=AND&json=%7B%22filter%22:[]%7D&facet=true&json.facet=%7B%22subject%22:%7B%22field%22:%22subject_str%22%7D,%22author%22:%7B%22field%22:%22author_str%22%7D,%22year%22:%7B%22field%22:%22year%22%7D,%22type%22:%7B%22field%22:%22type%22%7D%7D&wt=json HTTP/1.1" 200 1708
127.0.0.1 - - [26/set./2022:18:31:57 +0000] "GET /solr/search/select?q=*:*&start=0&q.op=AND&json=%7B%22filter%22:[]%7D&facet=true&json.facet=%7B%22subject%22:%7B%22field%22:%22subject_str%22%7D,%22author%22:%7B%22field%22:%22author_str%22%7D,%22year%22:%7B%22field%22:%22year%22%7D,%22type%22:%7B%22field%22:%22type%22%7D%7D&wt=json HTTP/1.1" 200 2123
127.0.0.1 - - [26/set./2022:18:31:57 +0000] "GET /solr/search/select?q=*:*&start=0&q.op=AND&json=%7B%22filter%22:[]%7D&facet=true&json.facet=%7B%22subject%22:%7B%22field%22:%22subject_str%22%7D,%22author%22:%7B%22field%22:%22author_str%22%7D,%22year%22:%7B%22field%22:%22year%22%7D,%22type%22:%7B%22field%22:%22type%22%7D%7D&wt=json HTTP/1.1" 200 2122
127.0.0.1 - - [26/set./2022:18:32:23 +0000] "GET /solr/search/select?q=*:*&start=251&q.op=AND&json=%7B%22filter%22:[]%7D&facet=true&json.facet=%7B%22subject%22:%7B%22field%22:%22subject_str%22%7D,%22author%22:%7B%22field%22:%22author_str%22%7D,%22year%22:%7B%22field%22:%22year%22%7D,%22type%22:%7B%22field%22:%22type%22%7D%7D&wt=json HTTP/1.1" 200 1708
